Ticker,Company,CEO,Year,Compensation
GOOGL,Alphabet Inc.,Sundar Pichai,2019,280621552
INTC,Intel Corporation,Robert Swan,2019,66935100
AMD,"Advanced Micro Devices, Inc.",Lisa Su,2019,58534288
HWM,Howmet Aerospace Inc.,John Plant,2019,51712578
DIS,The Walt Disney Company,Robert Iger,2019,47517762
DISCA,"Discovery, Inc.",David Zaslav,2019,45843912
KHC,The Kraft Heinz Company,Miguel Patricio,2019,43297480
MSFT,Microsoft Corporation,Satya Nadella,2019,42910215
FOXA,Fox Corporation,Lachlan Murdoch,2019,42111103
NOW,"ServiceNow, Inc.",William McDermott,2019,41682335
ADBE,"Adobe, Inc.",Shantanu Narayen,2019,39145631
NFLX,"Netflix, Inc.",Reed Hastings,2019,38577129
CVS,CVS Health Corporation,Larry Merlo,2019,36451749
CMCSA,Comcast Corporation,Brian Roberts,2019,36370183
CAT,Caterpillar Inc.,Donald Umpleby III,2019,34519129
WFC,Wells Fargo & Company,Charles Scharf,2019,34286574
CVX,Chevron Corporation,Michael Wirth,2019,33070662
T,AT&T Inc.,Randall Stephenson,2019,32032925
PSX,Phillips 66,Greg Garland,2019,31900878
MS,Morgan Stanley,James Gorman,2019,31642395
JPM,JPMorgan Chase & Co.,James Dimon,2019,31612616
LMT,Lockheed Martin Corporation,Marillyn Hewson,2019,30913982
PLD,"Prologis, Inc.",Hamid Moghadam,2019,30383438
COP,ConocoPhillips,Ryan Lance,2019,30363744
ATVI,"Activision Blizzard, Inc.",Robert Kotick,2019,30122896
GILD,"Gilead Sciences, Inc.",Daniel O'Day,2019,29107854
LHX,"L3Harris Technologies, Inc.",William Brown,2020,29037879
VLO,Valero Energy Corporation,Joseph Gorder,2019,28200511
SO,The Southern Company,Thomas Fanning,2019,27865185
ABT,Abbott Laboratories,Miles White,2019,27802817
TMUS,"T-Mobile US, Inc.",John Legere,2019,27756690
FIS,"Fidelity National Information Services, Inc.",Gary Norcross,2019,27658117
MRK,"Merck & Co., Inc.",Kenneth Frazier,2019,27648475
FISV,"Fiserv, Inc.",Jeffery Yabuki,2019,27601026
HCA,"HCA Healthcare, Inc.",Samuel Hazen,2019,26788251
CNC,Centene Corporation,Michael Neidorff,2019,26438425
BAC,Bank of America Corporation,Brian Moynihan,2019,26039213
CRM,"salesforce.com, inc.",Marc Benioff,2020,25969494
CSCO,"Cisco Systems, Inc.",Charles Robbins,2019,25829833
PYPL,"PayPal Holdings, Inc.",Daniel Schulman,2019,25825473
C,Citigroup Inc.,Michael Corbat,2019,25508761
JNJ,Johnson & Johnson,Alex Gorsky,2019,25365777
