"","size","year"
"1",520,72
"2",529,72
"3",530,72
"4",530,72
"5",544,72
"6",545,72
"7",546,72
"8",549,72
"9",553,72
"10",555,72
"11",562,72
"12",565,72
"13",565,72
"14",568,72
"15",579,72
"16",586,72
"17",600,72
"18",600,72
"19",604,72
"20",605,72
"21",621,72
"22",627,72
"23",633,72
"24",636,72
"25",667,72
"26",670,72
"27",671,72
"28",676,72
"29",681,72
"30",682,72
"31",699,72
"32",706,72
"33",725,72
"34",729,72
"35",736,72
"36",741,72
"37",744,72
"38",750,72
"39",758,72
"40",764,72
"41",767,72
"42",778,72
"43",797,72
"44",810,72
"45",849,72
"46",856,72
"47",878,72
"48",900,72
"49",916,72
"50",919,72
"51",922,72
"52",930,72
"53",942,72
"54",943,72
"55",982,72
"56",991,72
"57",1051,72
"58",1059,72
"59",1074,72
"60",1130,72
"61",1148,72
"62",1150,72
"63",1181,72
"64",1189,72
"65",1218,72
"66",1271,72
"67",1302,72
"68",1428,72
"69",1438,72
"70",1442,72
"71",1445,72
"72",1450,72
"73",1498,72
"74",1503,72
"75",1578,72
"76",1895,72
"77",1912,72
"78",1920,72
"79",2090,72
"80",2370,72
"81",2470,72
"82",2522,72
"83",2590,72
"84",2722,72
"85",2737,72
"86",2924,72
"87",3293,72
"88",3544,72
"89",3961,72
"90",5412,72
"91",5856,72
"92",6032,72
"93",6493,72
"94",8648,72
"95",8876,72
"96",13911,72
"97",28055,72
"98",500,73
"99",502,73
"100",502,73
"101",503,73
"102",508,73
"103",510,73
"104",510,73
"105",514,73
"106",526,73
"107",527,73
"108",530,73
"109",532,73
"110",542,73
"111",550,73
"112",555,73
"113",563,73
"114",564,73
"115",570,73
"116",584,73
"117",596,73
"118",597,73
"119",600,73
"120",605,73
"121",612,73
"122",623,73
"123",623,73
"124",627,73
"125",630,73
"126",640,73
"127",640,73
"128",653,73
"129",661,73
"130",666,73
"131",673,73
"132",674,73
"133",679,73
"134",683,73
"135",683,73
"136",690,73
"137",710,73
"138",720,73
"139",730,73
"140",736,73
"141",739,73
"142",750,73
"143",754,73
"144",764,73
"145",774,73
"146",774,73
"147",787,73
"148",788,73
"149",794,73
"150",810,73
"151",810,73
"152",830,73
"153",847,73
"154",851,73
"155",916,73
"156",918,73
"157",996,73
"158",1006,73
"159",1031,73
